ConvNeXt-XL: train_bb False, hidden_dim 128, lr=0.001
Step 10000: Test (13.7s): Average loss: 0.1838, Accuracy: 960/1024 (93.75%), TPR: 97.33%, TNR: 89.39%, TNR+TPR/2: 93.36%
Step 20000: Test (10.6s): Average loss: 0.1565, Accuracy: 967/1024 (94.43%), TPR: 98.93%, TNR: 88.96%, TNR+TPR/2: 93.95%
Step 30000: Test (10.6s): Average loss: 0.1564, Accuracy: 968/1024 (94.53%), TPR: 99.11%, TNR: 88.96%, TNR+TPR/2: 94.04%
Step 40000: Test (10.6s): Average loss: 0.1294, Accuracy: 980/1024 (95.70%), TPR: 98.22%, TNR: 92.64%, TNR+TPR/2: 95.43%
Step 50000: Test (10.6s): Average loss: 0.1781, Accuracy: 968/1024 (94.53%), TPR: 98.58%, TNR: 89.61%, TNR+TPR/2: 94.09%
Step 60000: Test (10.6s): Average loss: 0.1463, Accuracy: 977/1024 (95.41%), TPR: 98.93%, TNR: 91.13%, TNR+TPR/2: 95.03%
Step 70000: Test (11.8s): Average loss: 0.1370, Accuracy: 980/1024 (95.70%), TPR: 98.75%, TNR: 91.99%, TNR+TPR/2: 95.37%
Step 80000: Test (10.4s): Average loss: 0.1140, Accuracy: 982/1024 (95.90%), TPR: 98.40%, TNR: 92.86%, TNR+TPR/2: 95.63%
Step 90000: Test (10.6s): Average loss: 0.1176, Accuracy: 981/1024 (95.80%), TPR: 97.33%, TNR: 93.94%, TNR+TPR/2: 95.64%
Step 100000: Test (10.7s): Average loss: 0.1719, Accuracy: 973/1024 (95.02%), TPR: 98.75%, TNR: 90.48%, TNR+TPR/2: 94.62%
Step 110000: Test (10.5s): Average loss: 0.1269, Accuracy: 985/1024 (96.19%), TPR: 97.51%, TNR: 94.59%, TNR+TPR/2: 96.05%
Step 120000: Test (10.5s): Average loss: 0.1217, Accuracy: 986/1024 (96.29%), TPR: 98.40%, TNR: 93.72%, TNR+TPR/2: 96.06%
Step 130000: Test (10.6s): Average loss: 0.1100, Accuracy: 985/1024 (96.19%), TPR: 97.86%, TNR: 94.16%, TNR+TPR/2: 96.01%
Step 140000: Test (10.5s): Average loss: 0.1432, Accuracy: 976/1024 (95.31%), TPR: 95.02%, TNR: 95.67%, TNR+TPR/2: 95.34%
Step 150000: Test (10.4s): Average loss: 0.1146, Accuracy: 986/1024 (96.29%), TPR: 95.91%, TNR: 96.75%, TNR+TPR/2: 96.33%
Step 160000: Test (10.5s): Average loss: 0.1416, Accuracy: 980/1024 (95.70%), TPR: 93.95%, TNR: 97.84%, TNR+TPR/2: 95.89%
Step 170000: Test (10.5s): Average loss: 0.1321, Accuracy: 985/1024 (96.19%), TPR: 97.51%, TNR: 94.59%, TNR+TPR/2: 96.05%
Step 180000: Test (10.4s): Average loss: 0.1161, Accuracy: 979/1024 (95.61%), TPR: 95.02%, TNR: 96.32%, TNR+TPR/2: 95.67%
Step 190000: Test (10.5s): Average loss: 0.1216, Accuracy: 987/1024 (96.39%), TPR: 97.69%, TNR: 94.81%, TNR+TPR/2: 96.25%
Step 200000: Test (10.4s): Average loss: 0.1029, Accuracy: 989/1024 (96.58%), TPR: 97.51%, TNR: 95.45%, TNR+TPR/2: 96.48%
ConvNeXt-XL: train_bb False, hidden_dim 128, lr=0.0001
Step 10000: Test (10.4s): Average loss: 0.3970, Accuracy: 876/1024 (85.55%), TPR: 91.64%, TNR: 78.14%, TNR+TPR/2: 84.89%
Step 20000: Test (10.5s): Average loss: 0.3001, Accuracy: 918/1024 (89.65%), TPR: 94.13%, TNR: 84.20%, TNR+TPR/2: 89.16%
